City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,41.76,97,100,30.82,TF,1720634516
1,santa ana,33.7456,-117.8678,88.32,68,40,9.22,US,1720634316
2,georgetown,5.4112,100.3354,82.35,69,20,6.91,MY,1720634320
3,waitangi,-43.9535,-176.5597,46.81,91,100,11.99,NZ,1720634370
4,ribeira grande,38.5167,-28.7,79.2,57,20,14.0,PT,1720634522
5,tiksi,71.6872,128.8694,53.98,56,63,1.07,RU,1720634385
6,idrinskoye,54.3708,92.1358,59.72,81,100,3.27,RU,1720634525
7,san angelo,31.4638,-100.437,95.22,29,0,7.0,US,1720634526
8,nadym,65.5333,72.5167,61.48,60,1,6.26,RU,1720634528
9,puerto natales,-51.7236,-72.4875,41.45,70,20,14.97,CL,1720634529
10,bethel,41.3712,-73.414,89.06,75,98,1.99,US,1720634531
11,monrovia,6.3005,-10.7969,76.77,81,99,14.09,LR,1720634532
12,tromso,69.6496,18.957,57.22,62,20,6.91,NO,1720634464
13,pandan,14.0453,124.1694,79.9,87,100,2.15,PH,1720634535
14,sandnessjoen,66.0217,12.6316,72.12,43,75,6.91,NO,1720634536
15,tangalle,6.024,80.7911,79.59,84,100,10.29,LK,1720634382
16,newman,37.3138,-121.0208,95.52,19,0,4.45,US,1720634539
17,papatowai,-46.5619,169.4708,43.92,90,0,3.0,NZ,1720634540
18,cutral-co,-38.9469,-69.2089,45.91,10,62,5.01,AR,1720634542
19,yellowknife,62.456,-114.3525,68.41,50,75,4.0,CA,1720634471
20,reggane,26.7158,0.1714,111.51,5,1,18.28,DZ,1720634545
21,stanley,54.868,-1.6985,55.78,97,75,3.44,GB,1720634546
22,tabou,4.423,-7.3528,76.59,78,91,9.1,CI,1720634548
23,grytviken,-54.2811,-36.5092,32.94,98,100,14.56,GS,1720634549
24,puerto ayora,-0.7393,-90.3518,76.96,90,31,5.99,EC,1720634551
25,atafu village,-8.5421,-172.5159,83.75,69,95,15.64,TK,1720634552
26,isafjordur,66.0755,-23.124,57.24,62,100,9.22,IS,1720634554
27,edinburgh of the seven seas,-37.0676,-12.3116,50.4,53,80,23.55,SH,1720634555
28,olonkinbyen,70.9221,-8.7187,38.97,90,44,16.93,SJ,1720634465
29,aasiaat,68.7098,-52.8699,38.73,90,100,8.75,GL,1720634558
30,lebu,-37.6167,-73.65,47.64,66,37,7.38,CL,1720634547
31,badger,64.8,-147.5333,66.99,65,71,1.01,US,1720634561
32,hawaiian paradise park,19.5933,-154.9731,76.51,85,75,5.75,US,1720634562
33,phang nga,8.4509,98.5298,77.04,97,100,2.44,TH,1720634342
34,northam,51.0333,-4.2167,62.38,83,85,16.04,GB,1720634565
35,vadso,70.0744,29.7487,59.88,76,0,10.36,NO,1720634567
36,uliastay,47.7417,96.8444,58.89,72,88,3.74,MN,1720634568
37,queenstown,-31.8976,26.8753,54.39,25,12,13.24,ZA,1720634570
38,touros,-5.1989,-35.4608,78.87,81,100,14.79,BR,1720634548
39,porto novo,6.4965,2.6036,80.42,82,74,9.69,BJ,1720634573
40,thompson,55.7435,-97.8558,77.16,57,40,9.22,CA,1720634574
41,iqaluit,63.7506,-68.5145,47.93,76,40,5.75,CA,1720634500
42,ban houayxay,20.2453,100.4547,74.52,99,100,0.34,LA,1720634577
43,lakhna,26.65,79.15,92.89,58,96,9.82,IN,1720634579
44,luderitz,-26.6481,15.1594,58.71,81,47,2.95,NA,1720634582
45,acapulco de juarez,16.8634,-99.8901,76.03,82,100,4.88,MX,1720634408
46,maceio,-9.6658,-35.7353,81.84,94,40,16.11,BR,1720634354
47,cidreira,-30.1811,-50.2056,51.37,95,100,8.81,BR,1720634586
48,san bernardo del viento,9.3533,-75.9524,85.15,75,99,6.44,CO,1720634588
49,anadyr,64.75,177.4833,43.3,100,75,4.47,RU,1720634590
50,itajuba,-22.4256,-45.4528,73.35,65,54,4.32,BR,1720634592
51,albany,42.6001,-73.9662,92.57,65,99,1.99,US,1720634377
52,abadeh,31.1608,52.6506,84.04,13,63,10.92,IR,1720634597
53,prince rupert,54.3161,-130.3201,57.29,92,100,4.61,CA,1720634599
54,college,64.8569,-147.8028,66.09,66,40,5.75,US,1720634436
55,badiyah,22.45,58.8,81.54,74,92,12.66,OM,1720634351
56,crane,31.3974,-102.3501,90.59,27,2,9.98,US,1720634394
57,n'zeto,-7.2312,12.8666,69.67,88,54,10.65,AO,1720634604
58,lundazi,-12.2929,33.1782,58.41,39,2,7.07,ZM,1720634472
59,itoman,26.1247,127.6694,86.38,91,20,11.5,JP,1720634595
